id,name,date,value
MEX,Mexico,2024-04-08T04:00Z,112
CAN,Canada,2024-04-08T04:00Z,1710
MEX,Mexico,2024-04-08T03:00Z,7
CAN,Canada,2024-04-08T03:00Z,680
MEX,Mexico,2024-04-08T02:00Z,-198
CAN,Canada,2024-04-08T02:00Z,-287
CAN,Canada,2024-04-08T01:00Z,361
MEX,Mexico,2024-04-08T01:00Z,-179
CAN,Canada,2024-04-08,418
MEX,Mexico,2024-04-08,-112
MEX,Mexico,2024-04-07T23:00Z,-49
CAN,Canada,2024-04-07T23:00Z,1268
MEX,Mexico,2024-04-07T22:00Z,-47
CAN,Canada,2024-04-07T22:00Z,2139
MEX,Mexico,2024-04-07T21:00Z,105
CAN,Canada,2024-04-07T21:00Z,2715
MEX,Mexico,2024-04-07T20:00Z,111
CAN,Canada,2024-04-07T20:00Z,2603
MEX,Mexico,2024-04-07T19:00Z,129
CAN,Canada,2024-04-07T19:00Z,2362
CAN,Canada,2024-04-07T18:00Z,2335
MEX,Mexico,2024-04-07T18:00Z,152
MEX,Mexico,2024-04-07T17:00Z,90
CAN,Canada,2024-04-07T17:00Z,2355
CAN,Canada,2024-04-07T16:00Z,1803
MEX,Mexico,2024-04-07T16:00Z,56
CAN,Canada,2024-04-07T15:00Z,1934
MEX,Mexico,2024-04-07T15:00Z,0
MEX,Mexico,2024-04-07T14:00Z,-22
CAN,Canada,2024-04-07T14:00Z,2183
CAN,Canada,2024-04-07T13:00Z,1903
MEX,Mexico,2024-04-07T13:00Z,28
MEX,Mexico,2024-04-07T12:00Z,28
CAN,Canada,2024-04-07T12:00Z,1617
CAN,Canada,2024-04-07T11:00Z,1754
MEX,Mexico,2024-04-07T11:00Z,131
CAN,Canada,2024-04-07T10:00Z,2165
MEX,Mexico,2024-04-07T10:00Z,151
MEX,Mexico,2024-04-07T09:00Z,153
CAN,Canada,2024-04-07T09:00Z,2856
MEX,Mexico,2024-04-07T08:00Z,152
CAN,Canada,2024-04-07T08:00Z,2668
CAN,Canada,2024-04-07T07:00Z,3119
MEX,Mexico,2024-04-07T07:00Z,135
CAN,Canada,2024-04-07T06:00Z,3237
MEX,Mexico,2024-04-07T06:00Z,68
CAN,Canada,2024-04-07T05:00Z,1882
MEX,Mexico,2024-04-07T05:00Z,146
MEX,Mexico,2024-04-07T04:00Z,180
CAN,Canada,2024-04-07T04:00Z,1846
MEX,Mexico,2024-04-07T03:00Z,189
CAN,Canada,2024-04-07T03:00Z,1298
CAN,Canada,2024-04-07T02:00Z,658
MEX,Mexico,2024-04-07T02:00Z,173
MEX,Mexico,2024-04-07T01:00Z,190
CAN,Canada,2024-04-07T01:00Z,685
CAN,Canada,2024-04-07,912
